,Entity,Code,Date,test,confirmed,deaths,recovered,infectious_rate,removed_rate,susceptible_rate,infectious_rate_change,removed_rate_change,susceptible_rate_change
5,Germany,DEU,2020-01-27,2969.4285714285716,1.0,0.0,0.0,0.00033676513037621475,0.0,0.9996632348696238,0.0,0.0,0.0
6,Germany,DEU,2020-01-28,5938.857142857143,4.0,0.0,0.0,0.0006735302607524295,0.0,0.9993264697392475,1.0,0.0,0.0
7,Germany,DEU,2020-01-29,8908.285714285714,4.0,0.0,0.0,0.00044902017383495306,0.0,0.999550979826165,-0.33333333333333326,0.0,0.0
8,Germany,DEU,2020-01-30,11877.714285714286,4.0,0.0,0.0,0.00033676513037621475,0.0,0.9996632348696238,-0.2500000000000001,0.0,0.0
9,Germany,DEU,2020-01-31,14847.142857142859,5.0,0.0,0.0,0.0003367651303762147,0.0,0.9996632348696238,-1.1102230246251565e-16,0.0,0.0
10,Germany,DEU,2020-02-01,17816.571428571428,8.0,0.0,0.0,0.00044902017383495306,0.0,0.999550979826165,0.3333333333333337,0.0,0.0
11,Germany,DEU,2020-02-02,20786.0,10.0,0.0,0.0,0.00048109304339459254,0.0,0.9995189069566054,0.0714285714285714,0.0,0.0
12,Germany,DEU,2020-02-03,23755.428571428572,12.0,0.0,0.0,0.0005051476955643221,0.0,0.9994948523044357,0.04999999999999982,0.0,0.0
13,Germany,DEU,2020-02-04,26724.857142857145,12.0,0.0,0.0,0.000449020173834953,0.0,0.999550979826165,-0.11111111111111116,0.0,0.0
14,Germany,DEU,2020-02-05,29694.285714285717,12.0,0.0,0.0,0.00040411815645145766,0.0,0.9995958818435485,-0.10000000000000009,0.0,0.0
15,Germany,DEU,2020-02-06,32663.714285714286,12.0,0.0,0.0,0.00036738014222859793,0.0,0.9996326198577714,-0.09090909090909083,0.0,0.0
16,Germany,DEU,2020-02-07,35633.142857142855,13.0,0.0,0.0,0.00036482889124089937,0.0,0.9996351711087591,-0.006944444444444309,0.0,0.0
17,Germany,DEU,2020-02-08,38602.57142857143,13.0,0.0,0.0,0.00033676513037621475,0.0,0.9996632348696238,-0.0769230769230771,0.0,0.0
18,Germany,DEU,2020-02-09,41572.0,14.0,0.0,0.0,0.00033676513037621475,0.0,0.9996632348696238,0.0,0.0,0.0
19,Germany,DEU,2020-02-10,44541.42857142857,14.0,0.0,0.0,0.0003143141216844671,0.0,0.9996856858783155,-0.06666666666666676,0.0,0.0
20,Germany,DEU,2020-02-11,47510.857142857145,16.0,0.0,0.0,0.00033676513037621475,0.0,0.9996632348696238,0.0714285714285714,0.0,0.0
21,Germany,DEU,2020-02-12,50480.28571428572,16.0,0.0,0.0,0.0003169554168246727,0.0,0.9996830445831754,-0.05882352941176472,0.0,0.0
22,Germany,DEU,2020-02-13,53449.71428571429,16.0,0.0,1.0,0.0002993467825566353,1.8709173909789706e-05,0.9996819440435336,-0.05555555555555569,0.0,0.0
23,Germany,DEU,2020-02-14,56419.14285714286,16.0,0.0,1.0,0.00028359168873786506,1.7724480546116566e-05,0.999698683830716,-0.05263157894736825,-0.05263157894736825,0.0
24,Germany,DEU,2020-02-15,59388.571428571435,16.0,0.0,1.0,0.0002694121043009718,1.6838256518810737e-05,0.9997137496391802,-0.050000000000000044,-0.050000000000000044,0.0
25,Germany,DEU,2020-02-16,62358.0,16.0,0.0,1.0,0.00025658295647711603,1.6036434779819752e-05,0.9997273806087431,-0.04761904761904745,-0.04761904761904745,0.0
26,Germany,DEU,2020-02-17,65327.42857142857,16.0,0.0,1.0,0.0002449200948190653,1.530750592619158e-05,0.9997397723992547,-0.045454545454545525,-0.045454545454545525,0.0
27,Germany,DEU,2020-02-18,68296.85714285714,16.0,0.0,12.0,0.0002342713950443233,0.00017570354628324247,0.9995900250586724,-0.0434782608695653,10.478260869565217,0.0
28,Germany,DEU,2020-02-19,71266.28571428571,16.0,0.0,12.0,0.00022451008691747653,0.00016838256518810738,0.9996071073478944,-0.04166666666666652,-0.04166666666666663,0.0
29,Germany,DEU,2020-02-20,74235.71428571429,16.0,0.0,12.0,0.00021552968344077744,0.00016164726258058307,0.9996228230539786,-0.04000000000000015,-0.040000000000000036,0.0
30,Germany,DEU,2020-02-21,77205.14285714286,16.0,0.0,14.0,0.00020724008023151677,0.00018133507020257717,0.9996114248495659,-0.038461538461538436,0.1217948717948718,0.0
31,Germany,DEU,2020-02-22,80174.57142857143,16.0,0.0,14.0,0.00019956452170442353,0.0001746189564913706,0.9996258165218042,-0.0370370370370372,-0.0370370370370372,0.0
32,Germany,DEU,2020-02-23,83144.0,16.0,0.0,14.0,0.000192437217357837,0.00016838256518810738,0.999639180217454,-0.03571428571428559,-0.03571428571428559,0.0
33,Germany,DEU,2020-02-24,86113.42857142858,16.0,0.0,14.0,0.0001858014512420495,0.00016257626983679331,0.9996516222789211,-0.034482758620689724,-0.034482758620689724,0.0
34,Germany,DEU,2020-02-25,89082.85714285714,17.0,0.0,14.0,0.00019083357387985502,0.00015715706084223354,0.9996520093652779,0.027083333333333348,-0.033333333333333326,0.0
35,Germany,DEU,2020-02-26,92052.28571428572,27.0,0.0,15.0,0.0002933115651663806,0.00016295086953687808,0.9995437375652967,0.5370018975332069,0.03686635944700445,0.0
36,Germany,DEU,2020-02-27,95021.71428571429,46.0,0.0,16.0,0.0004840998749158087,0.00016838256518810738,0.999347517559896,0.650462962962963,0.03333333333333344,0.0
37,Germany,DEU,2020-02-28,97991.14285714286,48.0,0.0,16.0,0.0004898401896381306,0.00016328006321271018,0.9993468797471492,0.011857707509881577,-0.030303030303030276,0.0
38,Germany,DEU,2020-02-29,100960.57142857143,79.0,0.0,16.0,0.0007824836852859107,0.00015847770841233635,0.9990590386063017,0.5974264705882353,-0.02941176470588236,0.0
39,Germany,DEU,2020-03-01,103930.0,130.0,0.0,16.0,0.0012508419128259406,0.00015394977388626961,0.9985952083132877,0.5985533453887886,-0.02857142857142847,0.0
40,Germany,DEU,2020-03-02,106899.42857142858,159.0,0.0,16.0,0.0014873793258282817,0.00014967339127831765,0.9983629472828934,0.18910256410256387,-0.027777777777778012,0.0
41,Germany,DEU,2020-03-03,109868.85714285714,196.0,0.0,16.0,0.0017839450149658943,0.0001456281644870118,0.9980704268205471,0.19938806731259562,-0.027027027027026862,0.0
42,Germany,DEU,2020-03-04,112838.28571428572,262.0,0.0,16.0,0.00232190695154127,0.00014179584436893253,0.9975362972040898,0.30155746509129977,-0.02631578947368418,0.0
43,Germany,DEU,2020-03-05,115807.71428571429,482.0,0.0,16.0,0.004162071611316295,0.00013816005348767785,0.995699768335196,0.792522998629869,-0.02564102564102566,0.0
44,Germany,DEU,2020-03-06,118777.14285714287,670.0,0.0,17.0,0.005640815933801596,0.00014312518040989126,0.9942160588857886,0.3552904564315351,0.035937499999999956,0.0
45,Germany,DEU,2020-03-07,121746.57142857143,799.0,0.0,18.0,0.006562813150502331,0.00014784810601882597,0.9932893387434788,0.16345103749544965,0.03299856527977041,0.0
46,Germany,DEU,2020-03-08,124716.0,1040.0,0.0,18.0,0.00833894608550627,0.00014432791301837776,0.9915167260014753,0.27063591394004427,-0.023809523809523725,0.0
47,Germany,DEU,2020-03-09,142924.14285714287,1176.0,2.0,18.0,0.008228141001870122,0.0001399343707801041,0.9916319246273497,-0.013287660394967205,-0.030441389654918716,0.0
48,Germany,DEU,2020-03-10,161132.2857142857,1457.0,2.0,18.0,0.009042259864565583,0.00012412161790755776,0.9908336185175268,0.09894323183212639,-0.1130012075260255,0.0
49,Germany,DEU,2020-03-11,179340.42857142858,1908.0,3.0,25.0,0.010638984278104769,0.0001561276518799442,0.9892048880700153,0.17658466328714573,0.25786027053098537,0.0
50,Germany,DEU,2020-03-12,197548.57142857142,2078.0,3.0,25.0,0.010518932052876689,0.0001417372942639785,0.9893393306528593,-0.011284181091906431,-0.09217046079083613,0.0
51,Germany,DEU,2020-03-13,215756.7142857143,3675.0,7.0,46.0,0.017033073627240203,0.00024564704822958665,0.9827212793245302,0.619277845090942,0.7331151233357225,0.0
52,Germany,DEU,2020-03-14,233964.85714285716,4585.0,9.0,46.0,0.019596960227238034,0.00023507803980329158,0.9801679617329587,0.15052401322903486,-0.043025179836140626,0.0
53,Germany,DEU,2020-03-15,252173.0,5795.0,11.0,46.0,0.022980255618166894,0.0002260353011622973,0.9767937090806708,0.17264388719972912,-0.03846696462400767,0.0
54,Germany,DEU,2020-03-16,301975.71428571426,7272.0,17.0,67.0,0.024081406735640996,0.0002781680646031138,0.9756404251997559,0.04791727018926606,0.23063991851159682,0.0
55,Germany,DEU,2020-03-17,351778.4285714286,9257.0,24.0,67.0,0.0263148597189221,0.0002586855605943514,0.9734264547204835,0.09274595158826604,-0.0700386079061942,0.0
56,Germany,DEU,2020-03-18,401581.14285714284,12327.0,28.0,105.0,0.030696162454981524,0.00033119084988338955,0.968972646695135,0.1664953863656351,0.28028348054082053,0.0
57,Germany,DEU,2020-03-19,451383.85714285716,15320.0,44.0,113.0,0.03394007064623806,0.00034781926184460673,0.9657121100919174,0.10567797183162542,0.05020794495702985,0.0
58,Germany,DEU,2020-03-20,501186.5714285714,19848.0,67.0,180.0,0.03960201875207009,0.0004928304429545199,0.9599051508049754,0.16682193047997096,0.4169153264855672,0.0
59,Germany,DEU,2020-03-21,550989.2857142857,22213.0,84.0,233.0,0.040314758518768194,0.0005753287917187916,0.9591099126895131,0.01799756146675846,0.16739702253313293,0.0
60,Germany,DEU,2020-03-22,600792.0,24873.0,94.0,266.0,0.04140035153597252,0.0005992090440618383,0.9580004394199656,0.026927930541837064,0.04150713937278305,0.0
61,Germany,DEU,2020-03-23,652437.0,29056.0,123.0,266.0,0.04453456808856641,0.0005962261490381447,0.9548692057623954,0.07570507100333645,-0.004978054075208127,0.0
62,Germany,DEU,2020-03-24,704082.0,32986.0,157.0,3243.0,0.04684965671612113,0.004828982987776992,0.9483213602961019,0.05198408173512936,7.099247232895262,0.0
63,Germany,DEU,2020-03-25,755727.0,37323.0,206.0,3547.0,0.04938688177079818,0.0049660790205987085,0.9456470392086032,0.05415674804302206,0.02839024970034698,0.0
64,Germany,DEU,2020-03-26,807372.0,43938.0,267.0,5673.0,0.05442101038926294,0.007357203370936817,0.9382217862398002,0.10193250591984881,0.481491402053815,0.0
65,Germany,DEU,2020-03-27,859017.0,50871.0,342.0,6658.0,0.05922001543624864,0.00814884920787365,0.9326311353558777,0.08818294648811831,0.10760146172716567,0.0
66,Germany,DEU,2020-03-28,910662.0,57695.0,433.0,8481.0,0.06335500987193932,0.009788483542741434,0.9268565065853193,0.06982427149385106,0.2012105382050171,0.0
67,Germany,DEU,2020-03-29,962307.0,62095.0,533.0,9211.0,0.06452722467985789,0.010125666757074405,0.9253471085630677,0.018502322236047197,0.03444693070797533,0.0
68,Germany,DEU,2020-03-30,1020642.4285714285,66885.0,645.0,13500.0,0.06553225510487302,0.013858918269543679,0.9206088266255833,0.015575292909333127,0.3686919194591307,0.0
